iter	Passed	Remaining
0	1	1026
1	1	908
2	2	879
3	3	868
4	4	858
5	5	836
6	5	831
7	6	821
8	7	814
9	8	810
10	8	803
11	9	798
12	10	795
13	11	797
14	12	794
15	12	792
16	13	786
17	14	781
18	15	779
19	16	803
20	17	803
21	18	806
22	18	803
23	19	799
24	20	795
25	21	792
26	21	791
27	22	793
28	23	794
29	24	793
30	25	792
31	26	791
32	26	789
33	27	790
34	28	790
35	29	791
36	30	791
37	31	789
38	32	788
39	32	785
40	33	784
41	34	782
42	35	780
43	35	779
44	36	776
45	37	774
46	38	776
47	38	771
48	39	772
49	40	772
50	41	775
51	42	774
52	43	773
53	44	771
54	44	767
55	45	764
56	45	760
57	46	760
58	47	758
59	48	756
60	48	752
61	49	751
62	50	747
63	51	747
64	51	743
65	52	740
66	53	740
67	53	739
68	54	739
69	55	738
70	56	736
71	56	734
72	57	732
73	58	731
74	59	728
75	59	727
76	60	725
77	61	724
78	61	722
79	62	722
80	63	719
81	64	718
82	64	713
83	65	714
84	66	712
85	66	710
86	67	709
87	68	708
88	69	708
89	70	707
90	70	706
91	71	707
92	72	705
93	73	704
94	73	703
95	74	702
96	75	701
97	76	700
98	76	698
99	77	698
100	78	697
101	79	696
102	79	696
103	80	696
104	81	694
105	82	693
106	83	692
107	83	691
108	84	690
109	85	690
110	86	688
111	86	687
112	87	687
113	88	685
114	88	684
115	89	684
116	90	682
117	91	682
118	92	682
119	92	681
120	93	681
121	94	678
122	95	677
123	95	676
124	96	676
125	97	676
126	98	674
127	98	674
128	99	673
129	100	672
130	101	671
131	101	670
132	102	669
133	103	669
134	104	668
135	105	667
136	105	666
137	106	665
138	107	664
139	107	662
140	108	662
141	109	660
142	110	660
143	110	659
144	111	657
145	112	656
146	113	656
147	113	654
148	114	653
149	115	652
150	116	653
151	116	652
152	117	651
153	118	650
154	119	649
155	119	648
156	120	647
157	121	646
158	122	645
159	122	645
160	123	643
161	124	642
162	125	642
163	125	641
164	126	641
165	127	640
166	128	639
167	129	639
168	129	638
169	130	637
170	131	636
171	132	636
172	132	635
173	133	635
174	134	634
175	135	633
176	136	633
177	136	632
178	137	631
179	138	631
180	139	631
181	140	631
182	141	631
183	142	630
184	143	631
185	144	630
186	145	631
187	145	630
188	146	629
189	148	632
190	149	631
191	150	631
192	150	630
193	151	630
194	152	629
195	153	631
196	154	630
197	155	630
198	156	629
199	157	629
200	158	629
201	159	628
202	160	629
203	161	629
204	162	629
205	163	629
206	164	628
207	164	627
208	165	627
209	166	627
210	167	626
211	168	625
212	169	624
213	169	623
214	170	623
215	171	622
216	172	621
217	173	620
218	173	619
219	174	619
220	175	618
221	176	617
222	176	615
223	177	614
224	178	613
225	178	612
226	179	611
227	180	610
228	181	610
229	181	608
230	182	607
231	183	606
232	184	605
233	184	605
234	185	604
235	186	603
236	187	602
237	188	602
238	188	600
239	189	599
240	190	598
241	190	597
242	191	597
243	192	596
244	193	595
245	193	594
246	194	593
247	195	592
248	196	591
249	196	590
250	197	590
251	198	589
252	199	589
253	200	588
254	201	587
255	201	586
256	202	585
257	203	584
258	204	584
259	205	583
260	206	583
261	206	582
262	207	582
263	208	581
264	209	580
265	210	579
266	210	579
267	211	578
268	212	577
269	213	576
270	213	575
271	214	574
272	215	573
273	216	572
274	217	572
275	217	571
276	218	570
277	219	569
278	219	568
279	220	567
280	221	567
281	222	566
282	223	565
283	223	564
284	224	563
285	225	562
286	226	561
287	226	560
288	227	560
289	228	559
290	229	558
291	230	557
292	230	556
293	231	556
294	232	555
295	233	554
296	233	553
297	234	553
298	235	552
299	236	551
300	237	551
301	238	550
302	238	549
303	239	548
304	240	547
305	241	546
306	241	545
307	242	545
308	243	544
309	244	543
310	244	542
311	245	541
312	246	540
313	247	539
314	247	539
315	248	538
316	249	537
317	250	536
318	251	535
319	251	535
320	252	534
321	253	533
322	254	533
323	255	532
324	255	531
325	256	530
326	257	529
327	257	528
328	258	527
329	259	527
330	260	526
331	261	525
332	261	524
333	262	523
334	263	522
335	264	522
336	265	521
337	265	520
338	266	519
339	267	519
340	268	518
341	268	517
342	269	516
343	270	515
344	271	514
345	271	513
346	272	513
347	273	512
348	274	511
349	274	510
350	275	509
351	276	508
352	277	507
353	277	506
354	278	506
355	279	505
356	280	504
357	280	503
358	281	502
359	282	502
360	283	501
361	283	500
362	284	499
363	285	498
364	286	497
365	287	497
366	287	496
367	288	495
368	289	494
369	289	493
370	290	493
371	291	492
372	292	491
373	293	491
374	294	490
375	294	489
376	295	488
377	296	487
378	297	487
379	298	486
380	298	485
381	299	484
382	300	484
383	301	483
384	302	482
385	302	481
386	303	480
387	304	480
388	305	479
389	305	478
390	306	477
391	307	476
392	308	476
393	308	475
394	309	474
395	310	473
396	311	472
397	311	471
398	312	471
399	313	470
400	314	469
401	315	468
402	315	467
403	316	467
404	317	466
405	318	465
406	319	464
407	319	463
408	320	463
409	321	462
410	321	461
411	322	460
412	323	460
413	324	459
414	325	458
415	325	457
416	326	456
417	327	455
418	327	454
419	328	453
420	329	453
421	330	452
422	331	451
423	331	450
424	332	449
425	333	448
426	334	448
427	335	447
428	335	447
429	336	446
430	337	445
431	338	445
432	339	444
433	339	443
434	341	444
435	342	443
436	343	442
437	344	442
438	345	441
439	345	440
440	347	440
441	348	439
442	348	438
443	349	438
444	350	437
445	351	436
446	352	435
447	352	434
448	353	433
449	354	432
450	354	432
451	355	431
452	356	430
453	357	429
454	357	428
455	358	428
456	359	427
457	360	426
458	361	425
459	362	425
460	362	424
461	363	423
462	364	422
463	365	421
464	366	421
465	367	420
466	368	420
467	368	419
468	369	418
469	370	417
470	371	416
471	371	416
472	373	415
473	374	415
474	374	414
475	375	413
476	376	412
477	376	411
478	377	410
479	378	409
480	379	409
481	380	408
482	380	407
483	381	406
484	382	406
485	383	405
486	384	404
487	385	403
488	386	403
489	387	402
490	387	402
491	388	401
492	389	400
493	390	399
494	390	398
495	391	397
496	392	396
497	392	396
498	393	395
499	394	394
500	395	393
501	396	393
502	396	392
503	397	391
504	398	390
505	399	390
506	400	389
507	401	388
508	401	387
509	402	386
510	403	386
511	404	385
512	405	384
513	406	384
514	407	383
515	407	382
516	408	381
517	409	380
518	410	380
519	411	379
520	411	378
521	412	377
522	413	377
523	414	376
524	415	375
525	415	374
526	416	373
527	417	373
528	418	372
529	419	371
530	420	370
531	420	370
532	421	369
533	422	368
534	423	368
535	424	367
536	425	366
537	426	365
538	426	365
539	427	364
